TimeStamp,ch1,ch2,ch3,ch4
1237794.2733,-22219.04,-28145.03,-17980.48,-15989.11
1237794.2773,-22223.86,-28162.91,-17989.11,-16002.04
1237794.2813,-22227.1,-28160.05,-17990.5,-16006.09
1237794.2853,-22231.3,-28159.81,-17992.12,-16001.13
1237794.2893,-22233.11,-28162.44,-17990.59,-15993.98
1237794.2933,-22211.84,-28133.59,-17969.56,-15959.22
1237794.2973,-22191.96,-28123.24,-17953.64,-15935.9
1237794.3013,-22202.49,-28132.35,-17967.51,-15954.16
1237794.3053,-22215.56,-28153.42,-17984.68,-15992.83
1237794.3093,-22221.04,-28167.06,-17989.49,-16007.95
1237794.3133,-22229.48,-28171.88,-17999.65,-16022.45
1237794.3173,-22227.19,-28182.32,-18002.94,-16026.36
1237794.3213,-22224.24,-28165.53,-17998.98,-16009.28
1237794.3253,-22219.33,-28154.71,-17994.5,-15995.84
1237794.3293,-22207.02,-28147.27,-17982.82,-15984.82
1237794.3333,-22213.84,-28149.23,-17987.83,-15990.21
1237794.3373,-22224.91,-28172.93,-17999.98,-16010.95
1237794.3413,-22226.57,-28166.92,-18001.42,-16009.14
1237794.3453,-22227.86,-28163.63,-17999.7,-16008.67
1237794.3493,-22232.68,-28173.93,-18002.46,-16013.67
1237794.3533,-22237.59,-28168.73,-18006.52,-16000.7
1237794.3573,-22216.47,-28155.9,-17986.11,-15984.35
1237794.3613,-22218.42,-28151.23,-17987.21,-15988.92
1237794.3653,-22218.75,-28151.99,-17988.49,-15993.79
1237794.3693,-22225.0,-28162.72,-17990.83,-16001.89
1237794.3733,-22228.43,-28159.67,-17994.64,-15996.7
1237794.3773,-22214.51,-28156.57,-17984.34,-15981.96
1237794.3813,-22218.09,-28154.38,-17988.78,-15984.82
1237794.3853,-22225.95,-28163.25,-17999.46,-15999.75
1237794.3893,-22226.81,-28165.92,-17995.69,-15996.08
1237794.3933,-22226.19,-28163.2,-17997.03,-15996.65
1237794.3973,-22225.91,-28176.5,-18000.32,-16004.09
1237794.4013,-22225.62,-28167.63,-18000.32,-15999.13
1237794.4053,-22222.66,-28160.48,-17996.5,-15998.89
1237794.4093,-22223.9,-28166.63,-17995.79,-16005.76
1237794.4133,-22222.52,-28159.1,-17994.98,-15998.08
1237794.4173,-22214.7,-28161.34,-17989.26,-15992.45
1237794.4213,-22214.18,-28156.19,-17990.11,-15988.21
1237794.4253,-22225.1,-28164.96,-18000.94,-16001.7
1237794.4293,-22232.73,-28176.84,-18003.42,-16014.91
1237794.4333,-22225.76,-28159.76,-17989.3,-15996.46
1237794.4373,-22219.71,-28161.24,-17984.2,-15988.69
1237794.4413,-22227.0,-28164.15,-17990.16,-15999.03
1237794.4453,-22231.44,-28167.54,-17994.74,-16012.05
1237794.4493,-22234.3,-28176.98,-18000.56,-16017.11
1237794.4533,-22233.82,-28172.83,-18003.37,-16016.44
1237794.4573,-22222.76,-28169.49,-17992.78,-16004.18
1237794.4613,-22217.71,-28149.94,-17985.54,-15983.2
1237794.4653,-22219.66,-28146.37,-17985.78,-15978.86
1237794.4693,-22231.96,-28170.06,-17998.94,-16001.51
1237794.4733,-22239.74,-28175.69,-18008.57,-16015.87
1237794.4773,-22226.05,-28172.07,-17999.03,-16005.99
