TimeStamp,ch1,ch2
340320.7153,15978.96,14798.07
340320.7193,15955.5,14783.77
340320.7233,16111.09,14936.02
340320.7273,16122.3,14937.07
340320.7313,16068.51,14885.05
340320.7353,15984.68,14803.84
340320.7393,15961.89,14784.48
340320.7433,16119.63,14937.16
340320.7473,16130.16,14943.32
340320.7513,16067.65,14883.0
340320.7553,15979.24,14800.03
340320.7593,15955.31,14784.05
340320.7633,16109.56,14935.83
340320.7673,16125.39,14939.69
340320.7713,16063.84,14878.61
340320.7753,15978.62,14798.93
340320.7793,15958.36,14780.48
340320.7833,16113.33,14933.25
340320.7873,16125.01,14939.17
340320.7913,16065.17,14873.22
340320.7953,15977.34,14791.63
340320.7993,15953.73,14779.76
340320.8033,16109.8,14936.16
340320.8073,16120.34,14943.79
340320.8113,16063.22,14882.71
340320.8153,15982.01,14799.22
340320.8193,15956.45,14782.96
340320.8233,16113.09,14935.3
340320.8273,16127.3,14938.79
340320.8313,16063.79,14872.55
340320.8353,15982.06,14793.59
340320.8393,15954.35,14778.47
340320.8433,16113.66,14937.07
340320.8473,16130.59,14949.23
340320.8513,16068.84,14885.09
340320.8553,15985.44,14802.31
340320.8593,15958.79,14784.15
340320.8633,16111.95,14934.26
340320.8673,16124.2,14941.41
340320.8713,16065.74,14880.23
340320.8753,15985.3,14800.69
340320.8793,15957.12,14782.1
340320.8832,16113.95,14934.68
340320.8872,16130.54,14944.08
340320.8912,16070.18,14883.57
340320.8952,15980.2,14801.74
340320.8992,15933.8,14770.89
340320.9032,16099.26,14921.95
340320.9072,16141.61,14945.79
340320.9112,16083.48,14890.39
340320.9152,16003.13,14814.71
340320.9192,15978.91,14795.45
340320.9232,16134.45,14941.69
340320.9272,16149.0,14949.75
340320.9312,16094.35,14896.44
340320.9352,16018.3,14824.68
340320.9392,15985.25,14804.08
340320.9432,16136.84,14951.28
340320.9472,16156.39,14959.53
340320.9512,16095.21,14898.97
340320.9552,16012.43,14817.81
340320.9592,15983.92,14794.97
340320.9632,16140.27,14950.42
340320.9672,16156.06,14960.2
340320.9712,16093.69,14897.59
340320.9752,16013.81,14821.53
340320.9792,15980.29,14795.88
340320.9832,16128.11,14940.79
340320.9872,16144.66,14948.32
340320.9912,16085.29,14893.44
340320.9952,16004.61,14815.24
340320.9992,15977.24,14789.25
340321.0032,16135.46,14944.65
340321.0072,16154.67,14956.76
340321.0112,16089.54,14893.01
340321.0151,16005.99,14817.72
340321.0191,15972.9,14791.63
340321.0231,16129.54,14939.69
340321.0271,16151.29,14952.47
340321.0311,16088.96,14892.91
340321.0351,16003.8,14812.61
340321.0391,15964.56,14784.96
340321.0431,16119.72,14939.98
340321.0471,16147.0,14958.34
340321.0511,16089.01,14897.78
340321.0551,16008.05,14819.81
340321.0591,15976.14,14794.11
340321.0631,16129.07,14946.7
340321.0671,16149.86,14956.38
340321.0711,16087.44,14892.44
340321.0751,16006.61,14816.0
340321.0791,15973.62,14793.83
340321.0831,16128.97,14945.65
340321.0871,16151.62,14956.29
340321.0911,16084.72,14895.39
340321.0951,16000.32,14815.52
340321.0991,15962.55,14781.14
340321.1031,16121.06,14936.97
340321.1071,16148.0,14959.86
340321.1111,16087.53,14897.01
340321.1151,16007.09,14819.0
340321.1191,15970.9,14791.63
340321.1231,16124.39,14945.37
340321.1271,16145.66,14962.1
340321.1311,16085.44,14899.11
340321.1351,16005.71,14825.2
340321.1391,15970.61,14796.64
340321.1431,16122.53,14946.65
340321.147,16148.71,14967.68
340321.151,16088.44,14900.45
340321.155,16007.95,14818.81
340321.159,15974.95,14793.59
340321.163,16127.49,14944.32
340321.167,16151.0,14960.86
340321.171,16086.82,14899.83
340321.175,16007.38,14822.63
340321.179,15971.9,14791.4
340321.183,16127.49,14940.88
340321.187,16152.34,14954.47
340321.191,16086.63,14889.67
340321.195,16008.38,14819.58
340321.199,15974.14,14792.44
340321.203,16120.96,14941.12
340321.207,16147.47,14959.77
340321.211,16085.53,14896.35
340321.215,16009.09,14820.34
340321.219,15969.71,14792.01
340321.223,16122.87,14940.31
340321.227,16149.9,14957.14
340321.231,16088.87,14896.35
340321.235,16008.62,14815.0
340321.239,15970.04,14782.34
340321.243,16120.91,14936.02
340321.247,16141.75,14954.47
340321.251,16083.91,14891.2
340321.255,16005.23,14816.29
340321.259,15966.37,14783.77
340321.263,16128.26,14940.74
340321.267,16157.06,14961.91
340321.271,16095.21,14900.4
340321.275,16012.81,14827.11
340321.2789,15966.85,14789.01
340321.2829,16119.77,14937.55
340321.2869,16150.67,14957.43
340321.2909,16084.86,14896.25
340321.2949,16002.18,14820.24
340321.2989,15965.27,14788.3
340321.3029,16123.68,14936.59
340321.3069,16147.57,14955.14
340321.3109,16087.44,14899.4
340321.3149,16013.77,14832.88
340321.3189,15974.86,14797.26
340321.3229,16125.54,14941.98
340321.3269,16151.24,14963.44
340321.3309,16091.21,14902.74
340321.3349,16014.29,14827.78
340321.3389,15966.66,14787.82
340321.3429,16113.57,14938.36
340321.3469,16146.47,14961.91
340321.3509,16088.34,14898.68
340321.3549,16013.67,14823.44
340321.3589,15972.23,14785.91
340321.3629,16124.97,14933.25
340321.3669,16153.53,14953.66
340321.3709,16092.16,14897.59
340321.3749,16014.48,14826.25
340321.3789,15969.47,14791.16
340321.3829,16117.34,14937.83
340321.3869,16148.57,14961.29
340321.3909,16088.49,14899.88
340321.3949,16010.38,14824.44
340321.3989,15966.61,14785.34
340321.4029,16121.01,14938.17
340321.4069,16155.53,14964.87
340321.4109,16091.25,14899.78
340321.4149,16011.19,14825.54
340321.4189,15971.42,14789.06
340321.4229,16123.25,14936.5
340321.4269,16152.57,14958.34
340321.4309,16095.07,14900.21
340321.4349,16014.29,14823.63
340321.4389,15968.18,14784.0
340321.4429,16116.43,14934.45
340321.4469,16153.1,14965.2
340321.4509,16091.83,14903.69
340321.4549,16008.81,14827.78
340321.4589,15964.51,14787.34
340321.4629,16112.95,14932.82
340321.4669,16145.04,14957.29
340321.4709,16084.24,14890.91
340321.4749,16003.37,14811.99
340321.4789,15962.98,14780.67
340321.4829,16114.52,14932.54
340321.4869,16150.43,14960.91
340321.4909,16086.96,14896.68
340321.4949,16008.67,14822.58
340321.4989,15959.31,14779.24
340321.5029,16107.32,14924.77
340321.5069,16148.62,14955.62
340321.5109,16087.25,14890.82
340321.5149,16012.05,14817.48
340321.5189,15964.46,14779.52
340321.5229,16108.61,14927.82
340321.5269,16146.33,14957.48
340321.5309,16087.3,14893.92
340321.5349,16015.44,14819.91
340321.5389,15966.61,14775.95
340321.5428,16111.61,14922.81
340321.5468,16148.14,14955.43
340321.5508,16086.15,14898.44
340321.5548,16008.43,14825.01
340321.5588,15961.46,14780.28
340321.5628,16112.04,14926.01
340321.5668,16148.71,14958.43
340321.5708,16086.06,14893.44
340321.5748,16011.91,14817.05
340321.5788,15960.03,14772.23
340321.5828,16104.99,14917.42
340321.5868,16148.28,14952.8
340321.5908,16090.35,14894.11
340321.5948,16011.14,14824.44
340321.5988,15961.08,14784.86
340321.6028,16113.52,14932.21
340321.6068,16150.43,14961.05
340321.6108,16087.25,14897.01
340321.6148,16015.77,14826.44
340321.6188,15965.42,14785.01
340321.6228,16109.66,14929.25
340321.6268,16150.67,14958.19
340321.6308,16093.4,14897.54
340321.6348,16016.06,14822.77
340321.6388,15960.17,14776.52
340321.6428,16113.33,14933.49
340321.6468,16159.3,14967.73
340321.6508,16094.59,14901.4
340321.6548,16015.96,14832.07
340321.6588,15961.41,14786.72
340321.6628,16109.18,14930.06
340321.6668,16152.38,14966.87
340321.6708,16090.3,14903.12
340321.6747,16013.77,14832.45
340321.6787,15960.27,14786.91
340321.6827,16110.14,14930.2
340321.6867,16154.72,14964.25
340321.6907,16090.39,14904.64
340321.6947,16010.67,14830.16
340321.6987,15962.55,14784.24
340321.7027,16111.04,14931.63
340321.7067,16152.24,14968.11
340321.7107,16089.39,14907.65
340321.7147,16016.63,14838.84
340321.7187,15966.42,14794.35
340321.7227,16113.86,14941.74
340321.7267,16156.48,14978.22
340321.7307,16088.92,14913.23
340321.7347,16015.48,14838.51
340321.7387,15965.18,14785.2
340321.7427,16110.33,14935.11
340321.7467,16158.15,14976.46
340321.7507,16093.88,14912.56
340321.7547,16014.48,14838.98
340321.7587,15960.12,14791.06
340321.7627,16112.19,14935.88
340321.7667,16156.1,14971.83
340321.7707,16091.78,14910.51
340321.7747,16017.06,14838.94
340321.7787,15960.89,14789.63
340321.7827,16101.08,14931.97
340321.7867,16146.85,14967.63
340321.7907,16083.15,14902.78
340321.7947,16008.57,14839.36
340321.7987,15954.5,14794.21
340321.8027,16099.26,14930.44
340321.8066,16151.43,14967.97
340321.8106,16094.26,14906.74
340321.8146,16018.73,14837.31
340321.8186,15959.07,14785.1
